Ticker	Setor
AZUL4	Bens Industriais
CCRO3	Bens Industriais
ECOR3	Bens Industriais
EMBR3	Bens Industriais
GOLL4	Bens Industriais
RAIL3	Bens Industriais
RAPT4	Bens Industriais
WEGE3	Bens Industriais
TIMP3	Comunicações
VIVT4	Comunicações
ALPA4	Consumo Cíclico
AMAR3	Consumo Cíclico
BTOW3	Consumo Cíclico
CNTO3	Consumo Cíclico
COGN3	Consumo Cíclico
CVCB3	Consumo Cíclico
CYRE3	Consumo Cíclico
EZTC3	Consumo Cíclico
HGTX3	Consumo Cíclico
JHSF3	Consumo Cíclico
LAME3	Consumo Cíclico
LAME4	Consumo Cíclico
LCAM3	Consumo Cíclico
LREN3	Consumo Cíclico
MGLU3	Consumo Cíclico
MOVI3	Consumo Cíclico
MRVE3	Consumo Cíclico
RENT3	Consumo Cíclico
VVAR3	Consumo Cíclico
YDUQ3	Consumo Cíclico
ABEV3	Consumo não Cíclico
BEEF3	Consumo não Cíclico
BRFS3	Consumo não Cíclico
CRFB3	Consumo não Cíclico
JBSS3	Consumo não Cíclico
MDIA3	Consumo não Cíclico
MRFG3	Consumo não Cíclico
NTCO3	Consumo não Cíclico
PCAR3	Consumo não Cíclico
ALSO3	Financeiro
B3SA3	Financeiro
BBAS3	Financeiro
BBDC3	Financeiro
BBDC4	Financeiro
BBSE3	Financeiro
BIDI4	Financeiro
BPAC11	Financeiro
BPAN4	Financeiro
BRML3	Financeiro
CIEL3	Financeiro
IGTA3	Financeiro
IRBR3	Financeiro
ITSA4	Financeiro
ITUB4	Financeiro
MULT3	Financeiro
PSSA3	Financeiro
SANB11	Financeiro
SULA11	Financeiro
BRAP4	Materiais Básicos
BRKM5	Materiais Básicos
CSNA3	Materiais Básicos
DTEX3	Materiais Básicos
GGBR4	Materiais Básicos
GOAU4	Materiais Básicos
KLBN11	Materiais Básicos
SUZB3	Materiais Básicos
USIM5	Materiais Básicos
VALE3	Materiais Básicos
BRDT3	Petróleo, Gás e Biocombustíveis
CSAN3	Petróleo, Gás e Biocombustíveis
PETR3	Petróleo, Gás e Biocombustíveis
PETR4	Petróleo, Gás e Biocombustíveis
PRIO3	Petróleo, Gás e Biocombustíveis
UGPA3	Petróleo, Gás e Biocombustíveis
FLRY3	Saúde
GNDI3	Saúde
HAPV3	Saúde
HYPE3	Saúde
QUAL3	Saúde
RADL3	Saúde
LINX3	Tecnologia da Informação
TOTS3	Tecnologia da Informação
CESP6	Utilidade Pública
CMIG4	Utilidade Pública
CPFE3	Utilidade Pública
CPLE6	Utilidade Pública
CSMG3	Utilidade Pública
EGIE3	Utilidade Pública
ELET3	Utilidade Pública
ELET6	Utilidade Pública
ENBR3	Utilidade Pública
ENEV3	Utilidade Pública
ENGI11	Utilidade Pública
EQTL3	Utilidade Pública
LIGT3	Utilidade Pública
NEOE3	Utilidade Pública
SAPR11	Utilidade Pública
SBSP3	Utilidade Pública
TAEE11	Utilidade Pública
TRPL4	Utilidade Pública
